trials,nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
41,NCT00968812,NCT00968812,b1,0,0,0.8,2.9,0.001,11,-1684,3395,3464,870.8,1433,1445,hba1c,baseline
41,NCT01032629,NCT01032629,b1,0,0,0.9,7.1,0,11,-5690,11410,11490,3559,4282,4294,hba1c,baseline
41,NCT01106625,NCT01106625,b1,0,0,0.9,1.3,0.23,11,-610.9,1248,1302,378.2,452,464,hba1c,baseline
41,NCT01081834,NCT01081834,b1,0,0,1,1.5,0.113,11,-807.5,1641,1698,546.6,570,582,hba1c,baseline
41,NCT01106651,NCT01106651,b1,0,0,0.8,2.1,0.016,11,-819.5,1665,1724,416.6,700,712,hba1c,baseline
41,NCT01106677,NCT01106677,b1,0,0,0.9,2.2,0.005,15,-1648,3330,3418,990.4,1259,1275,hba1c,baseline
41,NCT01106690,NCT01106690,b1,0.1,0,0.9,2.1,0.019,11,-456.8,939.5,989.4,289.5,330,342,hba1c,baseline
41,NCT01137812,NCT01137812,b1,0,0,0.9,3.4,0.002,7,-987.4,1993,2034,607.2,745,753,hba1c,baseline
41,NCT01381900,NCT01381900,b1,0,-0,0.9,0.9,0.511,11,-857.1,1740,1799,500.8,663,675,hba1c,baseline
41,NCT01809327,NCT01809327,b1,0,0,1.2,1.6,0.057,19,-1854,3750,3857,1606,1158,1178,hba1c,baseline
41,NCT01989754,NCT01989754,b1,0,0,0.9,17.8,0,7,-7842,15700,15760,5090,5781,5789,hba1c,baseline
41,NCT02025907,NCT02025907,b1,0,-0,0.8,0.8,0.581,7,-263.9,545.8,576.2,145.6,208,216,hba1c,baseline
41,NCT02065791,NCT02065791,b1,0,0,1.3,18.1,0,7,-7293,14600,14660,7288,4340,4348,hba1c,baseline
41,NCT00819091,NCT00819091,b1,0,0,0.8,1.3,0.252,7,-279.9,577.8,609,146.4,230,238,hba1c,baseline
41,NCT00800683,NCT00800683,b1,0.1,0,1,1.7,0.109,7,-173.7,365.4,391.2,110.1,122,130,hba1c,baseline
41,NCT00740051,NCT00740051,b1,0,0,0.9,1.5,0.159,7,-298.3,614.7,645.5,184.1,219,227,hba1c,baseline
41,NCT00996658,NCT00996658,b1,0,-0,0.8,0.6,0.771,7,-329.2,676.4,708.8,179.2,264,272,hba1c,baseline
41,NCT01084005,NCT01084005,b1,0.1,0,0.7,1.9,0.077,7,-264.2,546.3,577.6,127.6,231,239,hba1c,baseline
41,NCT01087502,NCT01087502,b1,0,-0,0.9,0.7,0.679,7,-311.3,640.7,671.8,194.7,227,235,hba1c,baseline
41,NCT01194830,NCT01194830,b1,0,0,1.1,1.5,0.155,7,-318.6,655.1,685.5,241.6,208,216,hba1c,baseline
41,NCT02182830,NCT02182830,b1,0,0,1,1.1,0.374,7,-230,478,505.9,158.7,156,164,hba1c,baseline
41,NCT02453555,NCT02453555,b1,0,0,0.7,1.8,0.084,7,-278.6,575.3,607.8,122.2,267,275,hba1c,baseline
41,NCT00763451,NCT00763451,b1,0,-0,0.9,0.9,0.563,11,-607.7,1241,1296,351.2,470,482,hba1c,baseline
41,NCT00976937,NCT00976937,b1,0,-0,0.9,0.3,0.938,7,-429,876.1,910,275.1,311,319,hba1c,baseline
41,NCT00866658,NCT00866658,b1,0,-0,0.8,0.7,0.66,7,-352.6,723.2,756.8,176.5,302,310,hba1c,baseline
41,NCT01169779,NCT01169779,b1,0.1,0,0.8,3.1,0.003,7,-437.2,892.5,928.2,215,382,390,hba1c,baseline
41,NCT01632163,NCT01632163,b1,0,0,0.7,1.4,0.224,7,-255.7,529.5,561.2,112.8,243,251,hba1c,baseline
41,NCT01798706,NCT01798706,b1,0,0,0.7,2,0.054,7,-343.8,705.5,739.6,157.8,317,325,hba1c,baseline
41,NCT00712673,NCT00712673,b1,0,0,0.9,1.3,0.248,11,-907.7,1841,1900,574.7,668,680,hba1c,baseline
41,NCT00713830,NCT00713830,b1,0,0,0.9,2.7,0.009,7,-1079,2176,2219,621.6,850,858,hba1c,baseline
41,NCT00715624,NCT00715624,b1,0,0,0.9,2.3,0.028,7,-624.2,1266,1304,362,486,494,hba1c,baseline
41,NCT00763815,NCT00763815,b1,0.1,0,0.8,3.9,0,7,-600.7,1219,1257,339.1,476,484,hba1c,baseline
41,NCT00688701,NCT00688701,b1,0,-0,0.9,0.8,0.66,11,-467.6,961.2,1012,283.1,348,360,hba1c,baseline
41,NCT00707031,NCT00707031,b1,0,0,0.8,3.2,0.002,7,-754,1526,1566,401.4,625,633,hba1c,baseline
41,NCT01648582,NCT01648582,b1,0,0,1.1,1.2,0.29,11,-1168,2362,2422,926.2,762,774,hba1c,baseline
41,NCT01558271,NCT01558271,b1,0,-0,0.8,0.8,0.656,11,-591.5,1209,1264,318.9,480,492,hba1c,baseline
41,NCT02750410,NCT02750410,b1,0,-0,0.7,0.6,0.728,7,-166.5,350.9,378.5,75.6,151,159,hba1c,baseline
41,NCT01768559,NCT01768559,b1,0,0,0.6,1.2,0.329,7,-779.3,1577,1620,299.5,885,893,hba1c,baseline
41,NCT00975286,NCT00975286,b1,0,-0,0.5,1,0.458,7,-357.5,733.1,770,129.8,438,446,hba1c,baseline
41,NCT01632007,NCT01632007,b1,0.1,0,0.9,1.8,0.063,11,-307.9,641.8,687.4,177.2,233,245,hba1c,baseline
41,NCT01619059,NCT01619059,b1,0.1,0,0.9,2.3,0.024,7,-382.3,782.5,816,219,297,305,hba1c,baseline
41,NCT00968812,NCT00968812,f1,0.2,0.2,0.7,113.8,0,3,-1532,3074,3101,723.7,1409,1413,hba1c,locf
41,NCT01032629,NCT01032629,f1,0.1,0.1,1.2,239,0,3,-6780,13570,13600,6349,4154,4158,hba1c,locf
41,NCT01106625,NCT01106625,f1,0.3,0.3,0.8,73.9,0,3,-541.7,1093,1114,291.8,447,451,hba1c,locf
41,NCT01081834,NCT01081834,f1,0.4,0.4,0.8,137.2,0,3,-695.2,1400,1422,381.7,567,571,hba1c,locf
41,NCT01106651,NCT01106651,f1,0.3,0.3,0.7,124,0,3,-753.7,1517,1540,356,691,695,hba1c,locf
41,NCT01106677,NCT01106677,f1,0.3,0.3,0.7,151.4,0,4,-1378,2769,2799,663.4,1246,1251,hba1c,locf
41,NCT01106690,NCT01106690,f1,0.4,0.4,0.7,69,0,3,-352.5,714.9,734,159.8,333,337,hba1c,locf
41,NCT01137812,NCT01137812,f1,0.2,0.2,0.9,117,0,2,-942.4,1893,1911,560.4,731,734,hba1c,locf
41,NCT01381900,NCT01381900,f1,0.4,0.4,0.7,130.2,0,3,-744.4,1499,1521,368.1,657,661,hba1c,locf
41,NCT01809327,NCT01809327,f1,0.2,0.2,1.1,58.7,0,5,-1693,3401,3436,1278,1145,1151,hba1c,locf
41,NCT01989754,NCT01989754,f1,0.2,0.2,1.1,683.2,0,2,-8688,17380,17410,7188,5638,5641,hba1c,locf
41,NCT02025907,NCT02025907,f1,0.3,0.3,1,37.6,0,2,-287.1,582.2,595.5,201.1,200,203,hba1c,locf
41,NCT02065791,NCT02065791,f1,0.2,0.2,1.4,460.7,0,2,-7176,14360,14380,7875,4113,4116,hba1c,locf
41,NCT00819091,NCT00819091,f1,0.4,0.4,0.8,65.4,0,2,-297.1,602.2,616.1,169.2,235,238,hba1c,locf
41,NCT00800683,NCT00800683,f1,0.4,0.4,0.9,44.6,0,2,-162.4,332.9,344.3,92.6,127,130,hba1c,locf
41,NCT00740051,NCT00740051,f1,0.1,0.1,1.2,9.4,0,2,-353.1,714.1,727.8,298.2,224,227,hba1c,locf
41,NCT00996658,NCT00996658,f1,0.2,0.2,1,27.6,0,2,-394.9,797.8,812.2,290.5,269,272,hba1c,locf
41,NCT01084005,NCT01084005,f1,0.4,0.4,0.6,88.1,0,2,-205.2,418.4,432.4,77.5,238,241,hba1c,locf
41,NCT01087502,NCT01087502,f1,0.6,0.6,0.7,159.3,0,2,-248.9,505.7,519.6,114.4,232,235,hba1c,locf
41,NCT01194830,NCT01194830,f1,0.2,0.2,1.1,26.4,0,2,-333.1,674.2,687.7,276.3,213,216,hba1c,locf
41,NCT02182830,NCT02182830,f1,0.5,0.4,0.9,66.7,0,2,-211.4,430.9,443.3,126.5,161,164,hba1c,locf
41,NCT02453555,NCT02453555,f1,0.2,0.2,0.7,34.5,0,2,-290.6,589.2,603.7,133.3,272,275,hba1c,locf
41,NCT00763451,NCT00763451,f1,0.1,0.1,0.9,21.5,0,3,-637.1,1284,1305,405.2,472,476,hba1c,locf
41,NCT00976937,NCT00976937,f1,0.3,0.3,1,81.4,0,2,-430.9,869.7,884.7,286,311,314,hba1c,locf
41,NCT00866658,NCT00866658,f1,0.4,0.3,0.9,83.3,0,2,-405.3,818.6,833.5,250.6,305,308,hba1c,locf
41,NCT01169779,NCT01169779,f1,0.4,0.4,0.8,104.5,0,2,-453.7,915.3,931.1,239.7,380,383,hba1c,locf
41,NCT01632163,NCT01632163,f1,0.2,0.2,1,32,0,2,-340.5,689.1,703.2,223.2,247,250,hba1c,locf
41,NCT01798706,NCT01798706,f1,0.3,0.3,0.9,70.3,0,2,-411.4,830.9,846,239.3,322,325,hba1c,locf
41,NCT00712673,NCT00712673,f1,0.2,0.2,1,41.5,0,3,-919.3,1849,1871,611.7,665,669,hba1c,locf
41,NCT00713830,NCT00713830,f1,0.2,0.2,0.9,107.2,0,2,-1147,2302,2321,748.8,841,844,hba1c,locf
41,NCT00715624,NCT00715624,f1,0.2,0.2,1.1,61.6,0,2,-746.5,1501,1518,617,482,485,hba1c,locf
41,NCT00763815,NCT00763815,f1,0.1,0.1,0.8,29.5,0,2,-566.8,1142,1158,303.3,471,474,hba1c,locf
41,NCT00688701,NCT00688701,f1,0.4,0.4,0.9,92.9,0,3,-439.7,889.4,908.6,258.4,341,345,hba1c,locf
41,NCT00707031,NCT00707031,f1,0.2,0.2,0.9,76.5,0,2,-787.8,1584,1601,453.1,624,627,hba1c,locf
41,NCT01648582,NCT01648582,f1,0.3,0.3,1,97.3,0,3,-1109,2229,2252,796.6,770,774,hba1c,locf
41,NCT01558271,NCT01558271,f1,0.5,0.5,0.8,140.3,0,3,-563.9,1138,1159,285.2,488,492,hba1c,locf
41,NCT02750410,NCT02750410,f1,0.2,0.2,0.8,25.2,0,2,-183.7,375.4,387.6,93.8,156,159,hba1c,locf
41,NCT01768559,NCT01768559,f1,0.1,0.1,0.7,55.2,0,2,-984.1,1976,1995,473.8,890,893,hba1c,locf
41,NCT00975286,NCT00975286,f1,0.3,0.3,0.6,74.1,0,2,-410.1,828.2,844.5,167.2,434,437,hba1c,locf
41,NCT01632007,NCT01632007,f1,0.6,0.6,0.6,136.9,0,3,-225.6,461.1,478.6,90.4,241,245,hba1c,locf
41,NCT01619059,NCT01619059,f1,0.5,0.5,0.8,131.7,0,2,-342.7,693.5,708.3,170.4,300,303,hba1c,locf
41,NCT00968812,NCT00968812,f2,0.2,0.2,0.7,60.3,0,6,-1524,3063,3105,714.9,1406,1413,hba1c,locf
41,NCT01032629,NCT01032629,f2,0.2,0.2,1.2,126.3,0,6,-6762,13540,13590,6296,4151,4158,hba1c,locf
41,NCT01106625,NCT01106625,f2,0.3,0.3,0.8,37.4,0,6,-540.3,1097,1130,290,444,451,hba1c,locf
41,NCT01081834,NCT01081834,f2,0.4,0.4,0.8,69,0,6,-693.8,1404,1438,379.8,564,571,hba1c,locf
41,NCT01106651,NCT01106651,f2,0.4,0.4,0.7,63.8,0,6,-749.7,1515,1552,351.9,688,695,hba1c,locf
41,NCT01106677,NCT01106677,f2,0.3,0.3,0.7,77.8,0,8,-1372,2764,2815,656.7,1242,1251,hba1c,locf
41,NCT01106690,NCT01106690,f2,0.4,0.4,0.7,36.4,0,6,-348.3,712.5,743.1,155.9,330,337,hba1c,locf
41,NCT01137812,NCT01137812,f2,0.3,0.2,0.9,61.7,0,4,-937.4,1887,1914,552.8,729,734,hba1c,locf
41,NCT01381900,NCT01381900,f2,0.4,0.4,0.7,65.3,0,6,-743.4,1503,1539,366.9,654,661,hba1c,locf
41,NCT01809327,NCT01809327,f2,0.2,0.2,1.1,30.4,0,10,-1689,3402,3462,1268,1140,1151,hba1c,locf
41,NCT01989754,NCT01989754,f2,0.2,0.2,1.1,355.5,0,4,-8665,17340,17380,7131,5636,5641,hba1c,locf
41,NCT02025907,NCT02025907,f2,0.3,0.3,1,19.3,0,4,-286.1,584.2,604.1,199.2,198,203,hba1c,locf
41,NCT02065791,NCT02065791,f2,0.2,0.2,1.4,240.3,0,4,-7159,14330,14370,7813,4111,4116,hba1c,locf
41,NCT00819091,NCT00819091,f2,0.4,0.4,0.8,33,0,4,-296.3,604.6,625.4,168.1,233,238,hba1c,locf
41,NCT00800683,NCT00800683,f2,0.4,0.4,0.9,22.9,0,4,-161.3,334.6,351.8,91,125,130,hba1c,locf
41,NCT00740051,NCT00740051,f2,0.1,0.1,1.2,5.1,0.001,4,-352.1,716.3,736.8,295.8,222,227,hba1c,locf
41,NCT00996658,NCT00996658,f2,0.2,0.2,1,14.3,0,4,-393.9,799.9,821.5,288.4,267,272,hba1c,locf
41,NCT01084005,NCT01084005,f2,0.4,0.4,0.6,42.8,0,4,-203.9,419.8,440.6,77.1,234,239,hba1c,locf
41,NCT01087502,NCT01087502,f2,0.6,0.6,0.7,79.4,0,4,-248.5,508.9,529.7,114,230,235,hba1c,locf
41,NCT01194830,NCT01194830,f2,0.2,0.2,1.1,13.8,0,4,-331.9,675.9,696.1,273.4,211,216,hba1c,locf
41,NCT02182830,NCT02182830,f2,0.5,0.4,0.9,33.1,0,4,-211.3,434.5,453.1,126.3,159,164,hba1c,locf
41,NCT02453555,NCT02453555,f2,0.2,0.2,0.7,18.5,0,4,-288.3,588.7,610.4,131.1,270,275,hba1c,locf
41,NCT00763451,NCT00763451,f2,0.1,0.1,0.9,12.9,0,6,-631.2,1278,1312,395.3,469,476,hba1c,locf
41,NCT00976937,NCT00976937,f2,0.3,0.3,1,40.5,0,4,-430.8,873.7,896.2,285.9,309,314,hba1c,locf
41,NCT00866658,NCT00866658,f2,0.4,0.4,0.9,43.8,0,4,-402.1,816.3,838.7,245.6,303,308,hba1c,locf
41,NCT01169779,NCT01169779,f2,0.4,0.3,0.8,52.4,0,4,-453.1,918.2,941.8,238.9,378,383,hba1c,locf
41,NCT01632163,NCT01632163,f2,0.2,0.2,0.9,16.7,0,4,-339.3,690.6,711.7,220.9,245,250,hba1c,locf
41,NCT01798706,NCT01798706,f2,0.3,0.3,0.9,35.6,0,4,-410.5,833,855.7,237.9,320,325,hba1c,locf
41,NCT00712673,NCT00712673,f2,0.2,0.2,1,22.1,0,6,-915.7,1847,1883,605.1,662,669,hba1c,locf
41,NCT00713830,NCT00713830,f2,0.2,0.2,0.9,58.9,0,4,-1138,2289,2317,733.7,839,844,hba1c,locf
41,NCT00715624,NCT00715624,f2,0.2,0.2,1.1,33.7,0,4,-741.8,1496,1521,604.9,480,485,hba1c,locf
41,NCT00763815,NCT00763815,f2,0.1,0.1,0.8,14.9,0,4,-566.4,1145,1170,302.8,469,474,hba1c,locf
41,NCT00688701,NCT00688701,f2,0.5,0.4,0.9,46.1,0,6,-439.6,895.2,925.9,258.3,338,345,hba1c,locf
41,NCT00707031,NCT00707031,f2,0.2,0.2,0.8,42.1,0,4,-780.1,1572,1599,443.1,621,626,hba1c,locf
41,NCT01648582,NCT01648582,f2,0.3,0.3,1,49.5,0,6,-1107,2230,2267,791.8,767,774,hba1c,locf
41,NCT01558271,NCT01558271,f2,0.5,0.5,0.8,73.8,0,6,-557.3,1131,1164,277.5,485,492,hba1c,locf
41,NCT02750410,NCT02750410,f2,0.2,0.2,0.8,12.7,0,4,-183.2,378.5,396.9,93.3,154,159,hba1c,locf
41,NCT01768559,NCT01768559,f2,0.1,0.1,0.7,28,0,4,-983.3,1979,2007,472.9,888,893,hba1c,locf
41,NCT00975286,NCT00975286,f2,0.3,0.3,0.6,37.5,0,4,-409.1,830.2,854.7,166.4,432,437,hba1c,locf
41,NCT01632007,NCT01632007,f2,0.6,0.6,0.6,68.4,0,6,-224.7,465.3,493.4,89.8,238,245,hba1c,locf
41,NCT01619059,NCT01619059,f2,0.5,0.5,0.8,65.9,0,4,-342.2,696.5,718.8,169.8,298,303,hba1c,locf
41,NCT00968812,NCT00968812,f3,0.2,0.2,0.7,57.7,0,6,-1530,3076,3118,721.5,1406,1413,hba1c,locf
41,NCT01032629,NCT01032629,f3,0.1,0.1,1.2,120.2,0,6,-6778,13570,13620,6343,4151,4158,hba1c,locf
41,NCT01106625,NCT01106625,f3,0.3,0.3,0.8,37.4,0,6,-540.2,1096,1129,289.8,444,451,hba1c,locf
41,NCT01081834,NCT01081834,f3,0.4,0.4,0.8,68.4,0,6,-694.9,1406,1441,381.3,564,571,hba1c,locf
41,NCT01106651,NCT01106651,f3,0.4,0.3,0.7,62.2,0,6,-752.9,1522,1558,355.2,688,695,hba1c,locf
41,NCT01106677,NCT01106677,f3,0.3,0.3,0.7,75.9,0,8,-1377,2774,2826,662.2,1242,1251,hba1c,locf
41,NCT01106690,NCT01106690,f3,0.4,0.4,0.7,35.1,0,6,-350.7,717.4,748,158.2,330,337,hba1c,locf
41,NCT01137812,NCT01137812,f3,0.2,0.2,0.9,58.9,0,4,-941.6,1895,1923,559,729,734,hba1c,locf
41,NCT01381900,NCT01381900,f3,0.4,0.4,0.7,66.1,0,6,-742,1500,1536,365.4,654,661,hba1c,locf
41,NCT01809327,NCT01809327,f3,0.2,0.2,1.1,30,0,10,-1690,3405,3465,1271,1140,1151,hba1c,locf
41,NCT01989754,NCT01989754,f3,0.2,0.2,1.1,345.9,0,4,-8681,17370,17410,7170,5636,5641,hba1c,locf
41,NCT02025907,NCT02025907,f3,0.3,0.3,1,19,0,4,-286.6,585.2,605.1,200.1,198,203,hba1c,locf
41,NCT02065791,NCT02065791,f3,0.2,0.2,1.4,232.7,0,4,-7172,14360,14390,7860,4111,4116,hba1c,locf
41,NCT00819091,NCT00819091,f3,0.4,0.4,0.8,33.4,0,4,-295.8,603.5,624.3,167.3,233,238,hba1c,locf
41,NCT00800683,NCT00800683,f3,0.4,0.4,0.9,22.8,0,4,-161.5,334.9,352.1,91.2,125,130,hba1c,locf
41,NCT00740051,NCT00740051,f3,0.1,0.1,1.2,4.7,0.001,4,-353,717.9,738.5,297.9,222,227,hba1c,locf
41,NCT00996658,NCT00996658,f3,0.2,0.2,1,14.2,0,4,-394.1,800.1,821.8,288.7,267,272,hba1c,locf
41,NCT01084005,NCT01084005,f3,0.4,0.4,0.6,44.7,0,4,-204,420,440.9,76.7,236,241,hba1c,locf
41,NCT01087502,NCT01087502,f3,0.6,0.6,0.7,80.5,0,4,-247.5,507,527.8,113.1,230,235,hba1c,locf
41,NCT01194830,NCT01194830,f3,0.2,0.2,1.1,17.1,0,4,-326.6,665.2,685.5,260.2,211,216,hba1c,locf
41,NCT02182830,NCT02182830,f3,0.5,0.4,0.9,33,0,4,-211.4,434.8,453.4,126.5,159,164,hba1c,locf
41,NCT02453555,NCT02453555,f3,0.2,0.2,0.7,17.3,0,4,-290.2,592.5,614.2,132.9,270,275,hba1c,locf
41,NCT00763451,NCT00763451,f3,0.1,0.1,0.9,11.3,0,6,-635.5,1287,1320,402.4,469,476,hba1c,locf
41,NCT00976937,NCT00976937,f3,0.3,0.3,1,41.3,0,4,-429.7,871.3,893.8,283.8,309,314,hba1c,locf
41,NCT00866658,NCT00866658,f3,0.4,0.3,0.9,41.7,0,4,-404.9,821.7,844.1,250,303,308,hba1c,locf
41,NCT01169779,NCT01169779,f3,0.4,0.4,0.8,55.8,0,4,-448.7,909.5,933.2,233.6,378,383,hba1c,locf
41,NCT01632163,NCT01632163,f3,0.2,0.2,0.9,17.7,0,4,-337.6,687.3,708.4,218,245,250,hba1c,locf
41,NCT01798706,NCT01798706,f3,0.3,0.3,0.9,35.1,0,4,-411.2,834.3,857,238.9,320,325,hba1c,locf
41,NCT00712673,NCT00712673,f3,0.2,0.2,1,21.4,0,6,-917.5,1851,1887,608.4,662,669,hba1c,locf
41,NCT00713830,NCT00713830,f3,0.2,0.2,0.9,54.1,0,4,-1146,2304,2333,747,839,844,hba1c,locf
41,NCT00715624,NCT00715624,f3,0.2,0.2,1.1,30.7,0,4,-746.5,1505,1530,616.9,480,485,hba1c,locf
41,NCT00763815,NCT00763815,f3,0.1,0.1,0.8,15.7,0,4,-565,1142,1167,301.1,469,474,hba1c,locf
41,NCT00688701,NCT00688701,f3,0.5,0.4,0.9,47.7,0,6,-436.9,889.7,920.5,254.2,338,345,hba1c,locf
41,NCT00707031,NCT00707031,f3,0.2,0.2,0.9,38.2,0,4,-787.6,1587,1614,452.8,622,627,hba1c,locf
41,NCT01648582,NCT01648582,f3,0.3,0.3,1,49.7,0,6,-1107,2229,2267,791.1,767,774,hba1c,locf
41,NCT01558271,NCT01558271,f3,0.5,0.5,0.8,71.3,0,6,-561.3,1139,1172,282.1,485,492,hba1c,locf
41,NCT02750410,NCT02750410,f3,0.2,0.2,0.8,12.6,0,4,-183.5,378.9,397.3,93.6,154,159,hba1c,locf
41,NCT01768559,NCT01768559,f3,0.1,0.1,0.7,28.3,0,4,-982.7,1977,2006,472.3,888,893,hba1c,locf
41,NCT00975286,NCT00975286,f3,0.3,0.3,0.6,37.6,0,4,-409.1,830.1,854.6,166.4,432,437,hba1c,locf
41,NCT01632007,NCT01632007,f3,0.6,0.6,0.6,68,0,6,-225.1,466.3,494.3,90.1,238,245,hba1c,locf
41,NCT01619059,NCT01619059,f3,0.5,0.5,0.8,65.7,0,4,-342.4,696.8,719.1,170,298,303,hba1c,locf
41,NCT00968812,NCT00968812,f4,0.2,0.2,0.7,40.8,0,9,-1521,3064,3122,712.5,1403,1413,hba1c,locf
41,NCT01032629,NCT01032629,f4,0.2,0.2,1.2,84.7,0,9,-6760,13540,13610,6290,4148,4158,hba1c,locf
41,NCT01106625,NCT01106625,f4,0.3,0.3,0.8,25.2,0,9,-539,1100,1145,288.2,441,451,hba1c,locf
41,NCT01081834,NCT01081834,f4,0.4,0.4,0.8,45.9,0,9,-693.6,1409,1457,379.5,561,571,hba1c,locf
41,NCT01106651,NCT01106651,f4,0.4,0.4,0.7,42.5,0,9,-749.1,1520,1570,351.3,685,695,hba1c,locf
41,NCT01106677,NCT01106677,f4,0.3,0.3,0.7,52,0,12,-1371,2770,2842,655.5,1238,1251,hba1c,locf
41,NCT01106690,NCT01106690,f4,0.4,0.4,0.7,24.5,0,9,-347.1,716.3,758.3,154.8,327,337,hba1c,locf
41,NCT01137812,NCT01137812,f4,0.3,0.2,0.9,41.4,0,6,-936.5,1889,1926,551.3,727,734,hba1c,locf
41,NCT01381900,NCT01381900,f4,0.4,0.4,0.7,44.1,0,9,-741.1,1504,1554,364.4,651,661,hba1c,locf
41,NCT01809327,NCT01809327,f4,0.2,0.2,1.1,20.6,0,15,-1686,3406,3492,1262,1135,1151,hba1c,locf
41,NCT01989754,NCT01989754,f4,0.2,0.2,1.1,240.2,0,6,-8658,17330,17380,7111,5634,5641,hba1c,locf
41,NCT02025907,NCT02025907,f4,0.3,0.3,1,13,0,6,-285.5,586.9,613.5,197.9,196,203,hba1c,locf
41,NCT02065791,NCT02065791,f4,0.2,0.2,1.4,161.8,0,6,-7155,14330,14380,7797,4109,4116,hba1c,locf
41,NCT00819091,NCT00819091,f4,0.4,0.4,0.8,22.5,0,6,-294.9,605.9,633.7,166.2,231,238,hba1c,locf
41,NCT00800683,NCT00800683,f4,0.4,0.4,0.9,15.6,0,6,-160.3,336.7,359.6,89.7,123,130,hba1c,locf
41,NCT00740051,NCT00740051,f4,0.1,0.1,1.2,3.4,0.003,6,-352,720,747.4,295.5,220,227,hba1c,locf
41,NCT00996658,NCT00996658,f4,0.2,0.2,1,9.8,0,6,-393,802,830.8,286.4,265,272,hba1c,locf
41,NCT01084005,NCT01084005,f4,0.4,0.4,0.6,29,0,6,-202.6,421.1,449,76.2,232,239,hba1c,locf
